Name    l [deg]  b [deg]  d [kpc]
AI        121.7    -24.8      728
AIII      119.4    -26.3      724
AIX       123.2    -19.7      600
AXI       121.7    -29.1      762
AXII      122.0    -28.5      929
AXIII     123.0    -29.9      759
AXIV      123.0    -33.2      794
AXVI      124.9    -30.5      476
AXVII     120.2    -18.5      728
AXXV      119.2    -15.9      735
AXXVI     118.1    -14.7      755
AXXVII    120.4    -17.4     1253
AXXX      120.5    -13.2      682
NGC147    119.8    -14.3      711
NGC185    120.8    -14.5      619
