Name  l [deg]  b [deg]  d [kpc]
Sgr       5.6    -14.2     26.3
LMC     280.5    -32.9     50.6
SMC     302.8    -44.3     64.0
Dra      86.4     34.7     75.9
UMi     105.0     44.8     75.9
Scl     287.5    -83.2     85.9
Sxt     243.5     42.3     85.9
Car     260.1    -22.2    105.2 
Fnx     237.1    -65.7    147.2 
LeoII   220.2     67.2    233.3
LeoI    226.0     49.1    253.5
Boo     358.1     69.6     64.0
BooII   353.7     68.9     45.0
CaVn     74.3     79.8    214.0
CaVnII  113.6     82.7    154.0
CBe     241.9     83.6     43.0
Her      28.7     36.9    135.0
LeoIV   265.4     56.5    156.0
LeoV    261.9     58.5    176.0
PisII    79.2    -47.1    182.0
SegI    220.5     50.4     23.0
SegII   149.4    -38.1     35.0
UMa     159.4     54.4    100.0
UMaII   152.5     37.4     30.0
Wil1    158.6     56.8     41.0
